categoria,titulo,contenido,fecha
gobiernos,"'Intercambios de Efectivo a Criptomonedas' Financian el Crimen Global, Dice la Agencia Nacional del Crimen del Reino Unido","Las autoridades del Reino Unido (UK) han intensificado los esfuerzos para interrumpir las redes de lavado de dinero vinculadas a criptomonedas, advirtiendo que los mensajeros de efectivo siguen siendo un enlace crítico en el ecosistema criminal. | “Están en nuestras comunidades y hacen que el ecosistema criminal funcione, porque si no puedes beneficiarte de tus crímenes, ¿para qué molestarse?”, explicó Melki. | Desde el lanzamiento de “Operación Desestabilizar”, las fuerzas del orden han realizado 128 arrestos, y más de $32.75 millones (£25 millones) en efectivo y criptomonedas han sido incautados solo en el Reino Unido. La inteligencia de la operación también ha permitido que los socios internacionales de la NCA incauten aproximadamente $27 millones en incautaciones no realizadas en el Reino Unido. | Además de los arrestos e incautaciones, las autoridades del Reino Unido lanzaron recientemente una campaña de concienciación pública con mensajes exhibidos en estaciones de servicio en todo el Reino Unido. Si bien millones de británicos vieron los avisos, Melki enfatizó que estaban dirigidos directamente a los lavadores: | “Tu elección es simple: o dejas este tipo de trabajo, o prepárate para enfrentar a uno de nuestros oficiales y la realidad de tus elecciones. El dinero fácil lleva a tiempos difíciles.” | La advertencia subraya la creciente preocupación de que el papel de las criptomonedas en los esquemas de lavado está aumentando, con los mensajeros de efectivo actuando como el puente esencial entre las transacciones en la cadena de bloques y el sistema financiero físico.;2025-12-24 01:14:08",23 NOV 2025
gobiernos,130 plataformas cripto en la sombra eliminadas en la implacable represión de Kazajistán,"Se citó a Bizhanov diciendo: | La iniciativa está alineada con la Ley de Activos Digitales de Kazajistán, que solo permite operar legalmente a los intercambios con licencia otorgada por la Autoridad de Servicios Financieros de Astana (AFSA) y conectados a bancos locales. Las plataformas no registradas fuera de este marco se consideran ilegales. | Además, explicó que la AFM había descubierto 81 grupos de sombra con un movimiento ilícito que asciende a 24 mil millones de KZT ($43 millones) en 2024, subrayando los riesgos persistentes asociados a retiros de efectivo anónimos. | La AFM, en coordinación con el Ministerio de Justicia y el Ministerio de Inteligencia Artificial, ha introducido procedimientos de verificación más estrictos para el registro empresarial a fin de evitar que empresas ficticias sean utilizadas en delitos financieros. En los últimos tres años, las autoridades han revocado el registro de 3,600 firmas ficticias vinculadas a 30,000 transacciones fraudulentas por un total de 280 mil millones de KZT. | Analistas señalan que mientras que la represión destaca la fuerte postura regulatoria de Kazajistán, establecer un marco de licencias claro y eficiente podría posicionar al país como un centro regional para la innovación blockchain cumpliendo con regulaciones.;2025-12-24 01:07:18",10 OCT 2025
gobiernos,155 solicitudes de ETF de criptomonedas señalan un enorme impulso en el aterrizaje institucional.,"Una ola de optimismo está barriendo el sector de activos digitales a medida que las solicitudes de productos cotizados en bolsa (ETP) de criptomonedas alcanzan niveles sin precedentes, indicando una sólida confianza institucional en la trayectoria del mercado. El analista de ETF de Bloomberg, Eric Balchunas, compartió el 21 de octubre que se han realizado un récord de 155 solicitudes de ETP desde 2024, representando 35 criptomonedas diferentes. Describiendo la avalancha de solicitudes como histórica, Balchunas sugirió que el total podría exceder las 200 en el próximo año, a medida que los gestores de activos compiten por lanzar nuevos fondos de inversión cripto. | Aclaró que la lista refleja solo solicitudes pendientes y excluye los ETF que ya están comerciando, lo que explica por qué bitcoin y ether no lideran en número. “Esto es solo solicitudes. No incluye los ETF en el mercado. Por eso bitcoin no está en la cima ni ether porque tantos han pasado a través de la SEC. Estos son solo los que esperan en la fila,” explicó. | Según los datos, solana (SOL) y bitcoin (BTC) lideran con 23 solicitudes cada uno, seguidos por XRP con 20. Ethereum (ETH) tiene 16, y los productos de cestas representan 10. Litecoin (LTC) registró 5 solicitudes, mientras que avalanche (AVAX), dogecoin (DOGE) y polkadot (DOT) tienen 4 cada uno. SEI, hedera (HBAR), SUI, Binance Coin (BNB) y cardano (ADA) cada uno registró 3.;2025-12-24 01:10:34",23 OCT 2025
gobiernos,5x XRP ETF Presentación Empuja el Apalancamiento de Criptomonedas Hacia Territorio Desconocido,"El analista de ETF de Bloomberg, Eric Balchunas, comentó sobre el desarrollo, afirmando: | Señaló que Volatility Shares presentó para ETF 5x a pesar de que la SEC aún no ha aprobado las presentaciones de ETF 3x. “Volshares es como, intentemos 5x”, dijo el analista, sugiriendo que podría depender de la posibilidad de un cierre prolongado del gobierno, notando: “Si no hay gobierno en 75 días, pueden lanzarse, pero no lo sé”. Sus comentarios subrayan tanto la especulación temporal de la presentación como la incertidumbre continua en torno a la aprobación regulatoria. | Mientras que la presentación más amplia cubre acciones individuales como Tesla, Nvidia y Amazon, la inclusión de XRP se destaca dado su prominencia en desarrollos regulatorios recientes y su fuerte seguimiento en el sector cripto. La propuesta llega en medio de un renovado apetito de los inversionistas por vehículos de alto riesgo y alta recompensa y se presenta mientras la SEC opera con capacidad limitada durante un cierre del gobierno, lo que podría ralentizar la revisión de estas presentaciones sin precedentes. | A pesar del escepticismo, los defensores de la innovación en activos digitales ven el ETF vinculado a XRP como una señal importante de la evolución del mercado. Los partidarios argumentan que tales productos apalancados podrían aumentar la liquidez y profundizar la participación institucional en los mercados de cripto. Si la SEC permite que estos productos 5x avancen, podría determinar el futuro de los ETF apalancados de cripto y el papel de activos como XRP en conectar las finanzas digitales con los mercados tradicionales.;2025-12-24 01:14:02",20 OCT 2025
gobiernos,Abu Dhabi’s ADGM agrega USDT a la lista de tokens aprobados en principales blockchains,"En un comunicado, el CEO de Tether, Paolo Ardoino, dijo que los EAU “continúan estableciendo el estándar global para la regulación de activos digitales”, señalando que el reconocimiento apoya oportunidades de colaboración más amplias en todo el Medio Oriente. Mientras tanto, la realidad regulatoria sigue estando firmemente basada — ADGM ha estado identificando qué redes encajan dentro de sus conjuntos de reglas y decisiones de cumplimiento metódicas. | Para las empresas que operan en o que tienen como objetivo la región, la aprobación ampliada significa una mayor interoperabilidad, rieles de liquidación más claros y un conjunto más amplio de opciones de cadena de bloques que cumplen con los criterios de la FSRA. Si esto finalmente impulsa una liquidez significativa en la jurisdicción es una pregunta que el mercado responderá próximamente.;2025-12-24 01:10:13",09 DIC 2025
gobiernos,AUSTRAC apunta a operador de cajeros automáticos de criptomonedas por riesgos de lavado de dinero,"El CEO de AUSTRAC, Brendan Thomas, declaró que la notificación de infracción tiene como objetivo abordar el incumplimiento previo de los requisitos de reporte, mientras que el compromiso ejecutable pretende asegurar que Cryptolink mejore sus evaluaciones de riesgo y fortalezca sus controles generales de ALD/CTF. | “Los cajeros automáticos de criptomonedas representan uno de los canales de mayor riesgo para el lavado de dinero en Australia”, dijo Thomas, enfatizando que estos cajeros son explotados por criminales para lavar dinero y transferir fondos de estafas. Afirmó la seriedad de estos hallazgos, respaldados por observaciones del Grupo de Trabajo de Criptomonedas y colaboraciones con las fuerzas del orden. | Como parte del compromiso ejecutable, se requiere que Cryptolink involucre a revisores externos para validar el reporte de todas las transacciones que superen el umbral necesario a AUSTRAC. Se espera que los revisores evalúen la efectividad de los controles relacionados con grandes transacciones en efectivo. | Se espera que Cryptolink proporcione a AUSTRAC un informe escrito sobre las acciones tomadas para abordar los hallazgos, incluidas las acciones correctivas o de mejora identificadas para el 13 de marzo de 2026. Mientras tanto, la aceptación de este compromiso ejecutable por parte del CEO de AUSTRAC no afecta el derecho del regulador a tomar más medidas relacionadas con cualquier infracción futura por parte de Cryptolink. | Aunque Cryptolink reconoció la notificación y pagó la multa de inmediato, según AUSTRAC, esto no constituye una admisión de responsabilidad por parte del operador del cajero automático. | “Las estafas impulsan una cantidad significativa de actividad sospechosa. Los criminales utilizan cada vez más los cajeros automáticos de criptomonedas para manipular y retirar fondos robados”, agregó Thomas. Citó un informe reciente del Instituto Australiano de Criminología, que indicó que más del 40% de las víctimas de ciberdelitos son revictimizadas, a menudo en cuestión de meses. | La segunda fase del Grupo de Tareas de Criptomonedas se centra en las operaciones de alto riesgo. El jefe de AUSTRAC enfatizó la necesidad de que todos los operadores del sector de moneda digital tomen estos problemas en serio. | “A los criminales no les importa cómo lastiman a las personas; les importa ganar dinero”, dijo Thomas. “Queremos colaborar con los intercambios de moneda digital para fortalecer el sector contra la explotación. Sin embargo, si los operadores no prestan atención a estas advertencias, nos veremos obligados a tomar más medidas.”;2025-12-24 01:11:39",31 OCT 2025
gobiernos,Australia Apunta al Abuso de Cajeros Automáticos de Criptomonedas con Nuevas Reglas de Datos de Visas de Estudiantes,"Actualmente, las instituciones financieras carecen de visibilidad sobre si los estudiantes internacionales todavía están en Australia o han regresado a sus países de origen. Al actualizar los términos y condiciones del sistema de Verificación de Derechos de la Visa en Línea (VEVO), el gobierno ahora permitirá que los bancos verifiquen esta información. | “Las instituciones financieras podrán, como resultado de esto, acceder a la información de la visa si creen que están tratando con una cuenta mula, para determinar si alguien probablemente ha salido de Australia,” declaró Burke. | También reveló que la próxima legislación introducirá un nuevo marco regulatorio para los negocios de activos digitales. El marco extenderá las leyes de servicios financieros existentes y empoderará a AUSTRAC para restringir o prohibir productos de alto riesgo, con los cajeros automáticos de criptomonedas como parte integral de esa categoría.;2025-12-24 01:08:26",16 OCT 2025
gobiernos,Banco de Inglaterra apunta a finales de 2026 para la regulación de las stablecoin,"Hasta hace poco, el BoE había estado bajo presión del Tesoro del Reino Unido, el cual estaba supuestamente insatisfecho con el ritmo del banco central en el tema. Funcionarios argumentaron que el Reino Unido estaba perdiendo terreno frente a otras jurisdicciones debido al enfoque ultra-cauteloso del banco central sobre el tema. Los críticos argumentan que el ritmo lento del BoE está dando a EE.UU. la ventaja del pionero, una situación que los funcionarios podrían lamentar más tarde. | Sin embargo, ahora que el BoE parece estar señalando su disposición para avanzar, los actores de la industria lo instan a acelerar el proceso. Katharine Braddick, jefa de política estratégica en Barclays y exfuncionaria del Tesoro, dijo que el Reino Unido debe aumentar el ritmo si quiere competir con EE.UU. | “Estamos a punto de experimentar un período probablementemente más rápido de desarrollo de políticas y regulaciones, así como trabajo estratégico de políticas, ciertamente en el lado del Reino Unido”, se la cita diciendo a Braddick. “EE.UU. realmente nos está imponiendo un desafío con el ritmo, la ambición y el alcance de lo que están tratando de lograr”. | A pesar de que el BoE ha suavizado su postura, el gobernador Andrew Bailey sigue preocupado por lo que ve como “lagunas e inconsistencias significativas” entre diferentes regímenes de stablecoins que podrían representar riesgos para la estabilidad financiera.;2025-12-24 01:07:34",21 OCT 2025
gobiernos,"Banco de Inglaterra Propone Límite de £20,000 en Marco Histórico para Stablecoins","El Banco de Inglaterra se movió para reforzar la supervisión de las finanzas digitales al iniciar una consulta el 10 de noviembre que describe un marco regulatorio propuesto para stablecoins sistémicas denominadas en libras esterlinas. La iniciativa tiene como objetivo integrar el dinero digital de manera segura en el panorama de pagos del Reino Unido y reforzar la estabilidad monetaria a medida que la innovación se acelera. | “Esto marca un paso significativo en la preparación para un futuro donde nuevas formas de dinero digital pueden ser ampliamente utilizadas para pagos junto con las existentes, ofreciendo una valiosa opción para el público”, declaró el banco central británico. La Subgobernadora para la Estabilidad Financiera, Sarah Breeden, opinó: | El Banco de Inglaterra explicó: “En respuesta a los comentarios, los emisores de stablecoins sistémicas podrán tener hasta el 60% de los activos de respaldo en deuda gubernamental británica a corto plazo. Para el 40% restante, el Banco, como se propuso anteriormente, proporcionará a los emisores cuentas no remuneradas en el Banco de Inglaterra, asegurando un rescate robusto y confianza pública, incluso bajo estrés.” | Continuó: “Además, aquellos emisores considerados sistémicos al lanzamiento, o que están en transición desde el régimen de la FCA, inicialmente podrán tener hasta el 95% de los activos de respaldo en deuda gubernamental británica a corto plazo, para apoyar su viabilidad a medida que crecen.” | El Banco también destacó medidas de control de riesgos: | “Estos límites se eliminarían una vez que la transición ya no represente riesgos para la provisión de financiación a la economía real. Estos límites no se aplicarían a las stablecoins utilizadas para liquidar transacciones del mercado financiero mayorista en el Banco y el Sandbox de Valores Digitales de la FCA,” aclaró el Banco de Inglaterra. La Autoridad de Conducta Financiera (FCA) continuará regulando a los emisores no sistémicos, con supervisión conjunta introducida una vez que los emisores sean designados como sistémicos. La consulta cierra el 10 de febrero de 2026, antes de los Códigos de Práctica finales más adelante en el año.;2025-12-24 01:09:04",12 NOV 2025
gobiernos,Bielorrusia Bloquea los Sitios Web de Importantes Intercambios de Criptomonedas por 'Publicidad Inapropiada',"Los sitios web de varias plataformas globales de criptomonedas, incluidas Bitget, Bybit y OKX, han sido bloqueados en Belarús, a partir del 10 de diciembre, tras una decisión del Ministerio de Información. La restricción, confirmada por datos de la Empresa Unitaria Republicana para la Supervisión de las Telecomunicaciones (BelGIE), también afecta a las casas de cambio BingX, Weex y Gate.com. | El repentino bloqueo de Belarús a varias plataformas de intercambio de criptomonedas globales, incluidas Bybit y OKX, ocurre solo unos meses después de que el presidente Aleksandr Lukashenko expresara públicamente su frustración porque los residentes estaban usando estas plataformas para sacar capital del país. Para combatir esto, Lukashenko instó a los funcionarios a recalibrar el marco regulatorio para asegurar que solo las plataformas “legítimas” pudieran operar en el país. | El Ministerio de Información aclaró que la información detallada sobre la naturaleza de las violaciones de publicidad se proporcionará exclusivamente a los propietarios de las plataformas afectadas. | Para que las casas de cambio puedan reanudar el acceso, deben seguir el procedimiento descrito en el Artículo 51-2 de la Ley de Medios de Comunicación. Esto requiere que el propietario presente una solicitud después de eliminar las supuestas violaciones de la legislación que llevaron a la decisión de restricción, así como abordar cualquier otra violación legal.;2025-12-24 01:12:54",12 DIC 2025
tecnologia,$180 millones hackeados del sistema bancario brasileño: los atacantes cobraron utilizando criptomonedas,"La parte no identificada explotó una vulnerabilidad en el software de C&M que le permitió tomar el control de varias cuentas vinculadas a BMP, un proveedor de banca como servicio. Esto les permitió tomar millones de reales de instituciones como Bradesco y Credsystem, otra institución que proporciona servicios de tarjetas de crédito. | Mientras el Banco Central de Brasil reconoció que el ataque sucedió y ha desconectado el acceso de C&M al sistema, no ha habido informes oficiales detallando las pérdidas reales causadas por este exploit. | Fuentes informan que las pérdidas podrían alcanzar hasta 1 mil millones de reales (más de $180 millones), que ya estarían fuera del alcance de estas instituciones, ya que los hackers tomaron medidas rápidas para mover estos fondos fuera del sistema usando Pix, el sistema de pago instantáneo brasileño. | Para este fin, los atacantes aprovecharon la popularidad de este sistema de pago y dirigieron los fondos robados a varios intercambios de criptomonedas que soportan esta función para lavar los fondos. Parte del dinero fue intercambiado a través de estas plataformas brasileñas por bitcoin y USDT de Tether. | Rocelo Lopes, CEO de Smartpay, criticó la vulnerabilidad del sistema bancario brasileño, que carece de las salvaguardas necesarias para detener este tipo de ataque.;2025-12-24 00:26:16",03 JUL 2025
